no,question,a,b,c,d,answer
71,"As a Certified Ethical Hacker, you were contracted by a private firm to conduct an externalsecurity assessment through penetration testing.What document describes the specifics of the testing, the associated violations, and essentiallyprotects both the organization's interest and your liabilities as a tester?",Terms of Engagement,Project Scope,Non-Disclosure Agreement,Service Level Agreement,A
72,When comparing the testing methodologies of Open Web Application Security Project(OWASP) and Open Source Security Testing Methodology Manual (OSSTMM) the main difference is,OWASP is for web applications and OSSTMM does not include web applications.,OSSTMM is gray box testing and OWASP is black box testing.,OWASP addresses controls and OSSTMM does not.,OSSTMM addresses controls and OWASP does not.,D
73,Sophia travels a lot and worries that her laptop containing confidential documents might bestolen. What is the best protection that will work for her?,Password protected files,Hidden folders,BIOS password,Full disk encryption.,D
74,The establishment of a TCP connection involves a negotiation called 3 way handshake. Whattype of message sends the client to the server in order to begin this negotiation?,RST,ACK,SYN-ACK,SYN,D
75,"Which protocol is used for setting up secure channels between two devices, typically inVPNs?",PPP,IPSEC,PEM,SET,B
76,What term describes the amount of risk that remains after the vulnerabilities are classifiedand the countermeasures have been deployed?,Residual risk,Inherent risk,Deferred risk,Impact risk,A
77,"Peter, a Network Administrator, has come to you looking for advice on a tool that would helphim perform SNMP enquires over the network.Which of these tools would do the SNMP enumeration he is looking for? Select the best answers.",SNMPUtil,SNScan,SNMPScan,Solarwinds IP Network BrowserE. NMap,A
78,Which of the following represents the initial two commands that an IRC client sends to join anIRC network?,"USER, NICK","LOGIN, NICK","USER, PASS","LOGIN, USER",A
79,"An attacker, using a rogue wireless AP, performed an MITM attack and injected an HTMLcode to embed a malicious applet in all HTTP connections.When users accessed any page, the applet ran and exploited many machines.Which one of the following tools the hacker probably used to inject HTML code?",Wireshark,Ettercap,Aircrack-ng,Tcpdump,B
80,Craig received a report of all the computers on the network that showed all the missingpatches and weak passwords. What type of software generated this report?,a port scanner,a vulnerability scanner,a virus scanner,a malware scanner,B
81,Which of the following antennas is commonly used in communications for a frequency bandof 10 MHz to VHF and UHF?,Omnidirectional antenna,Dipole antenna,Yagi antenna,Parabolic grid antenna,C
82,What is the name of the international standard that establishes a baseline level of confidencein the security functionality of IT products by providing a set of requirements for evaluation?,Blue Book,ISO 26029,Common Criteria,The Wassenaar Agreement,C
83,"Switches maintain a CAM Table that maps individual MAC addresses on the network tophysical ports on the switch. In MAC flooding attack, a switch is fed with many Ethernet frames, each containing different sourceMAC addresses, by the attacker. Switches have a limited memory for mapping various MACaddresses to physical ports. What happens when the CAM table becomes full?",Switch then acts as hub by broadcasting packets to all machines on the network,The CAM overflow table will cause the switch to crash causing Denial of Service,The switch replaces outgoing frame switch factory default MAC address of FF:FF:FF:FF:FF:FF,Every packet is dropped and the switch sends out SNMP alerts to the IDS port,A
84,A company recently hired your team of Ethical Hackers to test the security of their networksystems. The company wants to have the attack be as realistic as possible. They did not provide anyinformation besides the name of their company. What phase of security testing would your teamjump in right away?,Scanning,Reconnaissance,Escalation,Enumeration,B
85,"Study the snort rule given below:From the options below, choose the exploit against which this rule applies.",WebDav,SQL Slammer,MS Blaster,MyDoom,C
86,"Which of the following programming languages is most susceptible to buffer overflowattacks, due to its lack of a built-in-bounds checking mechanism? Output:Segmentation fault",C#,Python,Java,C++,D
87,You have compromised a server and successfully gained a root access. You want to pivot andpass traffic undetected over the network and evade any possible Intrusion Detection System.What is the best approach?,Install Cryptcat and encrypt outgoing packets from this server.,Install and use Telnet to encrypt all outgoing traffic from this server.,Use Alternate Data Streams to hide the outgoing packets from this server.,"Use HTTP so that all traffic can be routed via a browser, thus evading the internal IntrusionDetection Systems.",A
88,"If you want only to scan fewer ports than the default scan using Nmap tool, which optionwould you use?",-sP,-P,-r,-F,B
89,The Heartbleed bug was discovered in 2014 and is widely referred to under MITRE's CommonVulnerabilities and Exposures (CVE) as CVE-2014-0160. This bug affects the OpenSSL implementationof the transport layer security (TLS) protocols defined in RFC6520.What type of key does this bug leave exposed to the Internet making exploitation of anycompromised system very easy?,Private,Public,Shared,Root,A
90,Which of the following network attacks relies on sending an abnormally large packet size thatexceeds TCP/IP specifications?,Ping of death,SYN flooding,TCP hijacking,Smurf attack,A
91,Which of the following tools can be used for passive OS fingerprinting?,tcpdump,nmap,ping,tracert,A
92,"Which method can provide a better return on IT security investment and provide a thoroughand comprehensive assessment of organizational security covering policy, procedure design, andimplementation?",Penetration testing,Social engineering,Vulnerability scanning,Access control list reviews,A
93,"You receive an e-mail like the one shown below. When you click on the link contained in themail, you are redirected to a website seeking you to download free Anti-Virus software.Dear valued customers,We are pleased to announce the newest version of Antivirus 2010 for Windows which will probe youwith total security against the latest spyware, malware, viruses, Trojans and other online threats.Simply visit the link below and enter your antivirus code: or you may contact us at the following address:Media Internet Consultants, Edif. Neptuno, PlantaBaja, Ave. Ricardo J. Alfaro, Tumba Muerto, n/a PanamaHow will you determine if this is Real Anti-Virus or Fake Anti-Virus website?","Look at the website design, if it looks professional then it is a Real Anti-Virus website","Connect to the site using SSL, if you are successful then the website is genuine",Search using the URL and Anti-Virus product name into Google and lookout for suspiciouswarnings against this site,"Download and install Anti-Virus software from this suspicious looking site, your Windows 7 willprompt you and stop the installation if the downloaded file is a malwareE. Download and install Anti-Virus software from this suspicious looking site, your Windows 7 willprompt you and stop the installation if the downloaded file is a malware",C
94,"You've gained physical access to a Windows 2008 R2 server which has an accessible discdrive. When you attempt to boot the server and log in, you are unable to guess the password. In yourtool kit you have an Ubuntu 9.10 Linux LiveCD. Which Linux based tool has the ability to change anyuser's password or to activate disabled Windows accounts?",CHNTPW,Cain & Abel,SET,Which Linux based tool has the ability to change anyuser's password or to activate disabled Windows accounts?A. CHNTPWB. Cain & AbelC. SET,A
95,Which protocol and port number might be needed in order to send log messages to a loganalysis tool that resides behind a firewall?,UDP 123,UDP 541,UDP 514,UDP 415,C
96,Which of the following tools will scan a network to perform vulnerability checks andcompliance auditing?,NMAP,Metasploit,Nessus,BeEF,C
97,Which of the following processes of PKI (Public Key Infrastructure) ensures that a trustrelationship exists and that a certificate is still valid for specific operations?,Certificate issuance,Certificate validation,Certificate cryptography,Certificate revocation,B
98,Which of the following describes the characteristics of a Boot Sector Virus?,Moves the MBR to another location on the hard disk and copies itself to the original location ofthe MBR,Moves the MBR to another location on the RAM and copies itself to the original location of theMBR,Modifies directory table entries so that directory entries point to the virus code instead of theactual program,Overwrites the original MBR and only executes the new virus code,A
99,Bob is doing a password assessment for one of his clients. Bob suspects that security policiesare not in place.He also suspects that weak passwords are probably the norm throughout the company he isevaluating. Bob is familiar with password weaknesses and key loggers.Which of the following options best represents the means that Bob can adopt to retrieve passwordsfrom his clients hosts and servers?,"Hardware, Software, and Sniffing.",Hardware and Software Keyloggers.,Passwords are always best obtained using Hardware key loggers.,"Software only, they are the most effective.",A
100,"The chance of a hard drive failure is once every three years. The cost to buy a new harddrive is 
300. It will require 10 hours to restore the OS and software to the new hard disk. It willrequire a further 4 hours to restore the database from the last backup to the new hard disk. Therecovery person earns 
10/hour. Calculate the SLE, ARO, and ALE. Assume the EF = 1 (100%).What is the closest approximate cost of this replacement and recovery operation per year?","
146","
1320","
440","
100",A
101,You are logged in as a local admin on a Windows 7 system and you need to launch theComputer Management Console from command line.Which command would you use?,c:\compmgmt.msc,c:\services.msc,c:\ncpa.cp,c:\gpedit,A
102,Which Open Web Application Security Project (OWASP) implements a web application full ofknown vulnerabilities?,WebBugs,WebGoat,VULN_HTML,WebScarab,B
103,Identify the web application attack where the attackers exploit vulnerabilities in dynamicallygenerated web pages to inject client-side script into web pages viewed by other users.,SQL injection attack,Cross-Site Scripting (XSS),LDAP Injection attack,Cross-Site Request Forgery (CSRF),B
104,You have successfully gained access to a linux server and would like to ensure that thesucceeding outgoing traffic from this server will not be caught by a Network Based IntrusionDetection Systems (NIDS).What is the best way to evade the NIDS?,Encryption,Protocol Isolation,Alternate Data Streams,Out of band signalling,A
105,"What do Trinoo, TFN2k, WinTrinoo, T-Sight, and Stracheldraht have in common?",All are hacking tools developed by the legion of doom,"All are tools that can be used not only by hackers, but also security personnel",All are DDOS tools,All are tools that are only effective against WindowsE. All are tools that are only effective against Linux,C
106,The purpose of a __________ is to deny network access to local area networks and otherinformation assets by unauthorized wireless devices.,Wireless Intrusion Prevention System,Wireless Access Point,Wireless Access Control List,Wireless Analyzer,A
107,An attacker with access to the inside network of a small company launches a successful STPmanipulation attack. What will he do next?,He will create a SPAN entry on the spoofed root bridge and redirect traffic to his computer.,He will activate OSPF on the spoofed root bridge.,He will repeat the same attack against all L2 switches of the network.,He will repeat this action so that it escalates to a DoS attack.,A
108,Diffie-Hellman (DH) groups determine the strength of the key used in the key exchangeprocess. Which of the following is the correct bit size of the Diffie-Hellman (DH) group 5?,768 bit key,1025 bit key,1536 bit key,2048 bit key,C
109,Which among the following is a Windows command that a hacker can use to list all theshares to which the current user context has access?,NET FILE,NET USE,NET CONFIG,NET VIEW,B
110,"If executives are found liable for not properly protecting their company's assets andinformation systems, what type of law would apply in this situation?",Civil,International,Criminal,Common,A
111,"What is the following command used for?net use \targetipc """" /u:""""",Grabbing the etc/passwd file,Grabbing the SAM,Connecting to a Linux computer through Samba.,This command is used to connect as a null sessionE. Enumeration of Cisco routers,D
112,What hacking attack is challenge/response authentication used to prevent?,Replay attacks,Scanning attacks,Session hijacking attacks,Password cracking attacks,A
113,Which of the following Secure Hashing Algorithm (SHA) produces a 160-bit digest from amessage with a maximum length of (264-1) bits and resembles the MD5 algorithm?,SHA-2,SHA-3,SHA-1,SHA-0,C
114,"In order to show improvement of security over time, what must be developed?",Reports,Testing tools,Metrics,Taxonomy of vulnerabilities,C
115,"Due to a slowdown of normal network operations, IT department decided to monitorinternet traffic for all of the employees. From a legal stand point, what would be troublesome to takethis kind of measure?",All of the employees would stop normal work activities,IT department would be telling employees who the boss is,Not informing the employees that they are going to be monitored could be an invasion of privacy.,The network could still experience traffic slow down.,C
116,These hackers have limited or no training and know how to use only basic techniques ortools.What kind of hackers are we talking about?,Black-Hat Hackers A,Script Kiddies,White-Hat Hackers,Gray-Hat Hacker,C
117,You are monitoring the network of your organizations. You notice that:Which of the following solution will you suggest?,Block the Blacklist IP's @ Firewall,Update the Latest Signatures on your IDS/IPS,Clean the Malware which are trying to Communicate with the External Blacklist IP's,Both B and C,D
118,What tool and process are you going to use in order to remain undetected by an IDS whilepivoting and passing traffic over a server you've compromised and gained root access to?,Install Cryptcat and encrypt outgoing packets from this server.,"Use HTTP so that all traffic can be routed via a browser, thus evading the internal IntrusionDetection Systems.",Use Alternate Data Streams to hide the outgoing packets from this server.,,B
119,"When discussing passwords, what is considered a brute force attack?",You attempt every single possibility until you exhaust all possible combinations or discover thepassword,You threaten to use the rubber hose on someone unless they reveal their password,You load a dictionary of words into your cracking program,You create hashes of a large number of words and compare it with the encrypted passwordsE. You wait until the password expires,A
120,Which of the following is one of the most effective ways to prevent Cross-site Scripting (XSS)flaws in software applications?,Validate and escape all information sent to a server,Use security policies and procedures to define and implement proper security settings,Verify access right before allowing access to protected information and UI controls,Use digital certificates to authenticate a server prior to sending data,A
121,Emil uses nmap to scan two hosts using this command.nmap -sS -T4 -O 192.168.99.1 192.168.99.7He receives this output:  What is his conclusion?,Host 192.168.99.7 is an iPad.,He performed a SYN scan and OS scan on hosts 192.168.99.1 and 192.168.99.7.,Host 192.168.99.1 is the host that he launched the scan from.,Host 192.168.99.7 is down.,B
122,What is GINA?,Gateway Interface Network Application,GUI Installed Network Application CLASS,Global Internet National Authority (G-USA),Graphical Identification and Authentication DLL,D
123,"After gaining access to the password hashes used to protect access to a web basedapplication, knowledge of which cryptographic algorithms would be useful to gain access to theapplication?",SHA1,Diffie-Helman,RSA,AES,A
124,A network admin contacts you. He is concerned that ARP spoofing or poisoning might occuron his network.What are some things he can do to prevent it? Select the best answers.,Use port security on his switches.,Use a tool like ARPwatch to monitor for strange ARP activity.,Use a firewall between all LAN segments.,"If you have a small network, use static ARP entries.E. Use only static IP addresses on all PC's.",A
